experiment,group,scenario,chain,quality,engine,cs_psnr,sr_psnr,cs_ssim,sr_ssim,cs_mae,sr_mae,cs_rmse,sr_rmse
multi,sweep,AVIF q=50,AVIF,50,sim,20.83601058959961,22.549918365478515,0.8319643640518188,0.658549919128418,17.010086822509766,14.396064147949218,24.900488204956055,19.646017150878905
multi,single,None,None,0,real,20.869457092285156,23.92508010864258,0.8324830675125122,0.754351794719696,16.9366357421875,12.180112953186034,24.818371887207032,17.002205047607422
multi,single,JPEG,JPEG,80,real,20.869457092285156,22.349031982421874,0.8324830675125122,0.6316573429107666,16.9366357421875,14.376845817565918,24.818371887207032,20.19781997680664
multi,single,WebP,WebP,80,real,20.827274246215822,22.56165702819824,0.8318798351287842,0.6643031334877014,17.031414947509766,14.170744972229004,24.918975982666016,19.687067108154295
multi,single,HEIF,HEIF,80,real,20.874224395751952,23.642817153930665,0.8326358652114868,0.7354450988769531,16.92585289001465,12.506492729187011,24.804814682006835,17.538493576049806
multi,single,AVIF,AVIF,80,real,20.83601058959961,22.982131958007812,0.8319643640518188,0.6965709137916565,17.010086822509766,13.476194381713867,24.900488204956055,18.836385116577148
multi,cascade,Single (baseline),JPEG,80,real,20.869457092285156,22.349031982421874,0.8324830675125122,0.6316573429107666,16.9366357421875,14.376845817565918,24.818371887207032,20.19781997680664
multi,cascade,Double same,JPEG -> JPEG,80,real,20.869457092285156,22.267766418457033,0.8324830675125122,0.6283749437332153,16.9366357421875,14.513016052246094,24.818371887207032,20.38752960205078
multi,cascade,Double cross,JPEG -> WebP,80,real,20.869457092285156,21.78164764404297,0.8324830675125122,0.5978391265869141,16.9366357421875,15.299411163330078,24.818371887207032,21.493232116699218
multi,cascade,Triple mixed,JPEG -> WebP -> JPEG,80,real,20.869457092285156,21.348248748779298,0.8324830675125122,0.5709621453285217,16.9366357421875,16.059175186157226,24.818371887207032,22.56988945007324
multi,cascade,Platform simulate,JPEG -> HEIF -> WebP,80,real,20.869457092285156,21.761548080444335,0.8324830675125122,0.5972100806236267,16.9366357421875,15.340381240844726,24.818371887207032,21.53935272216797
multi,cascade,Full chain,JPEG -> WebP -> HEIF -> AVIF,80,real,20.869457092285156,21.375741271972657,0.8324830675125122,0.5788930010795593,16.9366357421875,16.060790824890137,24.818371887207032,22.472747802734375
multi,sweep,JPEG q=95,JPEG,95,real,20.869457092285156,23.27864875793457,0.8324830675125122,0.705261869430542,16.9366357421875,12.97490550994873,24.818371887207032,18.25053108215332
multi,sweep,JPEG q=90,JPEG,90,real,20.869457092285156,22.983260345458984,0.8324830675125122,0.6772817921638489,16.9366357421875,13.42125633239746,24.818371887207032,18.835265045166015
multi,sweep,JPEG q=80,JPEG,80,real,20.869457092285156,22.349031982421874,0.8324830675125122,0.6316573429107666,16.9366357421875,14.376845817565918,24.818371887207032,20.19781997680664
multi,sweep,JPEG q=65,JPEG,65,real,20.869457092285156,21.676382904052733,0.8324830675125122,0.5908434820175171,16.9366357421875,15.47707103729248,24.818371887207032,21.762266998291015
multi,sweep,JPEG q=50,JPEG,50,real,20.869457092285156,21.23376281738281,0.8324830675125122,0.5658878469467163,16.9366357421875,16.28606372833252,24.818371887207032,22.868364791870118
multi,sweep,WebP q=95,WebP,95,real,20.827274246215822,23.07030960083008,0.8318798351287842,0.7099624419212341,17.031414947509766,13.340129241943359,24.918975982666016,18.65172103881836
multi,sweep,WebP q=90,WebP,90,real,20.827274246215822,22.942719116210938,0.8318798351287842,0.6972674226760864,17.031414947509766,13.548880233764649,24.918975982666016,18.902587203979493
multi,sweep,WebP q=80,WebP,80,real,20.827274246215822,22.56165702819824,0.8318798351287842,0.6643031334877014,17.031414947509766,14.170744972229004,24.918975982666016,19.687067108154295
multi,sweep,WebP q=65,WebP,65,real,20.827274246215822,22.087742309570313,0.8318798351287842,0.6296517276763915,17.031414947509766,14.94705421447754,24.918975982666016,20.72824645996094
multi,sweep,WebP q=50,WebP,50,real,20.827274246215822,21.712278137207033,0.8318798351287842,0.6053447008132935,17.031414947509766,15.577871055603028,24.918975982666016,21.604297943115235
multi,sweep,HEIF q=95,HEIF,95,real,20.874224395751952,23.667308044433593,0.8326358652114868,0.7379678773880005,16.92585289001465,12.46771011352539,24.804814682006835,17.494251594543456
multi,sweep,HEIF q=90,HEIF,90,real,20.874224395751952,23.663044891357423,0.8326358652114868,0.737591540813446,16.92585289001465,12.473981704711914,24.804814682006835,17.50199909210205
multi,sweep,HEIF q=80,HEIF,80,real,20.874224395751952,23.642817153930665,0.8326358652114868,0.7354450988769531,16.92585289001465,12.506492729187011,24.804814682006835,17.538493576049806
multi,sweep,HEIF q=65,HEIF,65,real,20.874224395751952,23.51589767456055,0.8326358652114868,0.7231041979789734,16.92585289001465,12.69865379333496,24.804814682006835,17.77123260498047
multi,sweep,HEIF q=50,HEIF,50,real,20.874224395751952,22.871588592529296,0.8326358652114868,0.6718268322944642,16.92585289001465,13.698866271972657,24.804814682006835,19.024932708740234
multi,sweep,AVIF q=95,AVIF,95,real,20.83601058959961,23.12546585083008,0.8319643640518188,0.7116876006126404,17.010086822509766,13.251407241821289,24.900488204956055,18.553433990478517
multi,sweep,AVIF q=90,AVIF,90,real,20.83601058959961,23.066154708862303,0.8319643640518188,0.7050176501274109,17.010086822509766,13.347223663330078,24.900488204956055,18.670308227539063
multi,sweep,AVIF q=80,AVIF,80,real,20.83601058959961,22.982131958007812,0.8319643640518188,0.6965709137916565,17.010086822509766,13.476194381713867,24.900488204956055,18.836385116577148
multi,sweep,AVIF q=65,AVIF,65,real,20.83601058959961,22.595965881347656,0.8319643640518188,0.6637253880500793,17.010086822509766,14.09364574432373,24.900488204956055,19.635765533447266
multi,sweep,AVIF q=50,AVIF,50,real,20.83601058959961,21.828367767333983,0.8319643640518188,0.6105588650703431,17.010086822509766,15.352805366516113,24.900488204956055,21.368489532470704
cascade,single,None,None,0,sim,20.770168685913085,23.876734771728515,0.8430067825317383,0.7359096813201904,16.71294563293457,12.105836563110351,25.06381851196289,17.162607650756836
cascade,single,JPEG,JPEG,80,sim,20.770168685913085,22.604202499389647,0.8430067825317383,0.6372364330291748,16.71294563293457,13.93041748046875,25.06381851196289,19.706851882934572
cascade,single,WebP,WebP,80,sim,20.770965118408203,23.410064849853516,0.8430123329162598,0.7006842017173767,16.7128010559082,12.877070388793946,25.06135208129883,17.974140701293944
cascade,single,HEIF,HEIF,80,sim,20.76984848022461,23.33042053222656,0.8430493927001953,0.7041655158996583,16.71229751586914,13.00984977722168,25.06497917175293,18.120634460449217
cascade,single,AVIF,AVIF,80,sim,20.770590744018556,23.52025749206543,0.8430172538757325,0.7079113626480102,16.712183151245117,12.672656936645508,25.062399291992186,17.789640579223633
cascade,cascade,Single (baseline),JPEG,80,sim,20.770168685913085,22.604202499389647,0.8430067825317383,0.6372364330291748,16.71294563293457,13.93041748046875,25.06381851196289,19.706851882934572
